postcode,lat,lon
2323,-32.770,151.600
2324,-32.670,151.810
2325,-32.840,151.380
2326,-32.810,151.430
2327,-32.820,151.480
2328,-32.460,150.740
2329,-31.510,150.640
2330,-32.510,150.860
2331,-32.690,151.180
2333,-32.390,150.470
2334,-32.680,151.390
2335,-32.650,151.280
2336,-32.160,150.890
2337,-31.990,151.120
2338,-31.730,150.790
2339,-31.770,150.620
2340,-30.960,150.830
2341,-31.350,150.620
2342,-31.260,150.730
2343,-31.660,150.300
2344,-31.220,150.820
2345,-30.930,150.850
2346,-30.610,150.510
2347,-30.530,150.440
2348,0.000,0.000
2350,-30.240,152.010
2351,-30.490,151.640
2352,-31.060,151.050
2353,-30.950,151.050
2354,-31.270,151.550
2355,-30.880,151.160
2356,-30.620,148.970
2357,-31.510,149.790
2358,-30.590,151.560
2359,-30.000,151.080
2360,-29.840,151.040
2361,-29.320,151.100
2365,-30.080,151.880
2369,-29.910,151.210
2370,-29.640,151.960
2371,-29.390,152.040
2372,-28.930,151.700
2379,-31.070,149.710
2380,-30.800,150.200
2381,-31.240,150.460
2382,-30.700,150.040
2386,-30.110,148.970
2387,-29.780,149.090
2388,-30.090,149.440
2390,-30.600,149.970
2395,-31.550,149.380
2396,-30.940,149.070
2397,-29.920,149.790
2398,-29.740,149.800
2399,-29.580,150.140
2400,-29.320,149.810
2401,-29.580,150.340
2402,-29.510,150.750
2403,-29.650,150.830
2404,-29.800,150.480
2405,-28.730,149.580
2406,-29.000,149.100
2408,-28.930,150.390
2409,-28.740,150.420
2410,-29.050,150.640
2411,-29.130,150.380
2415,-32.290,151.860
2420,-32.430,151.770
2421,-32.510,151.530
2422,-31.970,152.070
2423,-32.490,152.280
2424,-31.800,152.070
2425,-32.540,151.960
2426,-31.830,152.610
2427,-31.840,152.740
2428,-32.350,152.540
2429,-31.730,152.280
2430,-32.070,152.540
2431,-30.890,153.070
2439,-31.660,152.680
2440,-31.060,152.770
2441,-30.820,152.830
2442,0.000,0.000
2443,-31.580,152.740
2444,-31.400,152.850
2445,-31.590,152.840
2446,-31.460,152.530
2447,-30.800,152.730
2448,-30.620,153.000
2449,-30.620,152.750
2450,-30.340,153.070
2452,-30.340,153.080
2453,-30.140,152.600
2454,-30.450,152.900
2455,-30.520,152.980
2456,-30.060,153.190
2460,-29.050,152.590
2462,-29.620,153.070
2463,-29.420,153.190
2464,-29.480,153.360
2465,-29.420,153.240
2466,-29.410,153.350
2469,-29.340,153.000
2470,-28.730,152.800
2471,-29.050,153.230
2472,-29.010,153.440
2473,-29.090,153.380
2474,-28.590,152.830
2475,-28.620,152.420
2476,-28.370,152.320
2477,-28.810,153.450
2478,-28.870,153.560
2479,-28.690,153.520
2480,-28.610,153.040
2481,-28.720,153.590
2482,-28.610,153.440
2483,-28.500,153.530
2484,-28.400,153.170
2485,-28.180,153.540
2486,-28.210,153.540
2487,-28.300,153.570
2488,-28.330,153.540
2489,-28.360,153.580
2490,-28.270,153.470
2500,-34.440,150.890
2502,-34.470,150.870
2505,-34.490,150.890
2506,-34.480,150.840
2508,-34.240,150.980
2515,-34.310,150.930
2516,-34.330,150.910
2517,-34.360,150.900
2518,-34.370,150.910
2519,-34.390,150.880
2520,-33.940,151.140
2522,-34.410,150.880
2525,-34.440,150.860
2526,-34.380,150.780
2527,-34.570,150.780
2528,-34.570,150.860
2529,-34.570,150.830
2530,-34.510,150.730
2533,-34.660,150.850
2534,-34.730,150.770
2535,-34.850,150.680
2536,-35.730,150.200
2537,-35.980,150.110
2538,-35.490,150.230
2539,-35.520,150.390
2540,-34.890,150.530
2541,-34.840,150.570
2545,-36.150,149.710
2546,-36.360,150.080
2548,-36.880,149.920
2549,-36.910,149.850
2550,-36.640,149.860
2551,-37.100,149.880
2555,-33.880,150.740
2556,-33.950,150.730
2557,-33.990,150.770
2558,-34.040,150.810
2559,-34.050,150.800
2560,-34.080,150.830
2563,-34.100,150.760
2564,-33.990,150.890
2565,-33.990,150.840
2566,-34.020,150.840
2567,-34.050,150.760
2568,-34.110,150.750
2569,-34.190,150.710
2570,-34.080,150.540
2571,-34.290,150.530
2572,-34.180,150.530
2573,-34.220,150.590
2574,-34.350,150.630
2575,-34.410,150.520
2576,-34.540,150.390
2577,-34.610,150.480
2578,-34.630,150.320
2579,-34.560,149.990
